index,01_16_CSF,01_16_SER,01_18_CSF,01_18_SER,01_37_CSF,01_37_SER,01_44_CSF,01_44_SER,01_46_CSF,01_46_SER,01_48_CSF,02_04_CSF,02_04_SER,02_07_CSF,02_33_CSF,02_33_SER,02_39_CSF,02_39_SER,03_02_CSF,03_02_SER,03_07_CSF,03_07_SER,03_10_CSF,03_10_SER,03_12_CSF,03_12_SER,03_15_CSF,03_18_CSF,03_18_SER,03_21_CSF,03_21_SER,03_28_CSF,03_28_SER,03_30_CSF,03_30_SER,03_33_CSF,03_33_SER,03_34_CSF,03_34_SER,03_38_CSF,03_39_CSF,03_39_SER,03_54_CSF,03_54_SER,03_58_CSF,03_58_SER,04_05_SER,04_22_CSF,04_22_SER,04_24_CSF,04_30_CSF,04_30_SER,04_31_CSF,04_31_SER,04_38_CSF,04_38_SER,04_54_CSF,04_54_SER,04_62_CSF,04_62_SER,05_10_SER,05_11_CSF,05_11_SER,05_16_CSF,05_16_SER,05_19_CSF,05_19_SER,05_20_CSF,05_20_SER,05_21_CSF,05_21_SER,05_39_CSF,05_52_CSF,05_52_SER,06_05_CSF,06_05_SER,06_08_CSF,06_08_SER,06_12_CSF,06_12_SER,06_15_CSF,06_15_SER,06_19_CSF,06_19_SER,06_21_CSF,06_21_SER,06_27_CSF,06_27_SER,06_32_SER,06_35_CSF,06_35_SER,06_52_CSF,06_52_SER,06_63_CSF,06_63_SER,07_02_CSF,07_02_SER,07_08_CSF,07_08_SER,07_10_CSF,07_11_CSF,07_11_SER,07_20_CSF,07_20_SER,07_34_CSF,07_34_SER,07_42_CSF,07_42_SER,07_54_CSF,07_57_CSF,07_57_SER,07_58_CSF,07_58_SER,07_63_CSF,07_63_SER,07_64_CSF,07_64_SER,07_73_CSF,07_73_SER,08_06_CSF,08_06_SER,08_29_CSF,08_29_SER,08_35_CSF,08_35_SER,08_37_CSF,08_37_SER,08_40_CSF,08_40_SER,08_45_CSF,08_45_SER,08_52_CSF,08_52_SER,08_55_CSF,08_55_SER,08_69_CSF,08_69_SER,08_77_CSF,08_77_SER,08_82_SER,08_85_CSF,08_85_SER,08_88_CSF,08_88_SER,09_14_CSF,09_14_SER,09_20_CSF,09_20_SER,09_31_CSF,09_31_SER,09_35_CSF,09_35_SER,09_39_CSF,09_39_SER,09_42_CSF,09_42_SER,09_49_CSF,09_50_CSF,09_50_SER,09_57_CSF,09_57_SER,10_13_CSF,10_13_SER,10_16-CSF,10_16_SER,10_22_CSF,10_22_SER,10_26_CSF,10_26_SER,10_32_CSF,10_32_SER,10_36_CSF,10_36_SER,10_39_CSF,10_39_SER,95_36_CSF,95_36_SER,95_39_SER,95_40_CSF,95_40_SER,96_04-SER,96_09-CSF,96_09-SER,96_11_CSF,96_11_SER,96_17-CSF,96_17_SER,96_18_CSF,96_18_SER,96_22_SER,96_29_CSF,96_29_SER,96_30_CSF,96_30_SER,96_31_CSF,96_31_SER,96_35_CSF,96_35_SER,96_46_CSF,96_46_SER,97_17_CSF,97_17_SER,97_18_CSF,97_18_SER,97_21_CSF,97_21_SER,97_22_CSF,97_22_SER,97_24_CSF,97_24_SER,97_25_SER,97_37_CSF,97_37_SER,97_39_CSF,97_44_CSF,97_44_SER,97_45_CSF,97_45_SER,97_48_CSF,97_48_SER,97_51_CSF,97_51_SER,98_07_CSF,98_07_SER,98_10_CSF,98_10_SER,98_18_CSF,98_18_SER,98_19_CSF,98_19_SER,98_22_CSF,98_22_SER,98_23_SER,98_30_CSF,98_30_SER,98_34_CSF,98_34_SER,98_37_CSF,98_37_SER,99_02_CSF,99_02_SER,99_10_CSF,99_10_SER,99_14_CSF,99_14_SER,99_15_CSF,99_15_SER,99_25_CSF,99_25_SER,99_27_CSF,99_27_SER,99_28_CSF,99_28_SER,99_29_CSF,99_43_CSF,99_44_CSF,99_44_SER,99_48_CSF,99_48_SER,99_52_CSF,99_52_SER,99_58_CSF,99_58_SER,99_60_CSF,99_60_SER,99_64_CSF,99_64_SER
ENSG00000078369,1,2,0,27,0,26,1,4,2,23,1,3,5,2,1,17,5,23,3,6,0,4,0,4,4,72,0,2,3,3,0,1,0,2,29,8,48,1,3,4,7,3,6,1,6,25,4,2,6,7,7,5,3,2,3,3,6,0,3,0,0,5,3,4,2,9,4,19,8,0,0,0,5,5,0,13,6,2,6,8,2,10,4,7,11,0,0,5,3,7,27,12,16,28,0,15,2,7,3,3,23,33,2,14,2,5,0,4,10,4,0,3,0,4,0,4,0,11,13,17,28,6,1,3,10,10,15,6,0,1,0,9,0,0,25,26,1,0,8,9,6,0,1,7,1,5,1,0,0,0,6,4,0,14,11,19,2,4,6,8,19,4,0,1,3,27,21,0,5,2,20,2,6,9,3,0,6,6,19,2,0,2,13,2,0,5,4,4,0,1,3,16,0,0,0,2,0,12,0,0,0,2,6,1,2,1,32,7,7,0,10,1,1,14,9,11,1,13,3,10,1,3,8,6,4,0,1,1,0,0,2,4,2,5,3,0,32,5,10,4,13,7,6,6,9,6,0,1,1,10,6,6,6,2,2,0,1,3,3,0,16,0,3,6,3,9,10
ENSG00000130939,9,3,0,32,0,7,2,11,4,3,0,3,6,2,0,0,4,6,5,7,0,1,0,10,5,10,2,2,14,0,0,6,0,5,24,7,192,3,0,3,23,0,2,54,0,52,9,3,6,17,14,1,1,3,2,7,8,52,0,10,0,3,6,6,11,18,1,8,8,3,4,1,8,9,1,7,7,61,7,12,3,2,7,26,7,4,2,2,1,24,52,5,17,9,0,7,13,7,3,3,17,57,3,20,2,1,0,2,9,5,1,7,2,2,34,6,3,5,25,9,14,2,0,17,4,21,68,9,0,0,1,7,0,15,5,7,0,1,1,10,0,0,8,7,3,0,1,0,0,1,11,13,0,14,20,38,2,2,7,6,20,0,16,0,27,14,27,0,2,3,87,0,2,5,3,2,5,8,7,47,0,1,1,8,35,3,10,8,39,4,0,16,0,0,1,2,3,34,0,6,0,5,2,4,11,24,11,10,6,0,9,0,5,12,6,16,0,20,1,6,0,1,6,2,0,0,0,0,1,0,3,4,1,2,8,8,57,8,7,5,37,12,28,3,5,1,0,3,12,3,23,11,3,3,0,8,3,3,4,4,7,4,1,2,5,8,35
ENSG00000162545,0,0,0,3,0,0,1,1,3,0,0,0,2,0,1,0,0,5,1,1,0,0,0,99,1,6,0,0,0,0,0,0,0,0,0,0,6,1,4,0,1,0,0,0,0,8,1,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,1,0,1,0,3,0,0,1,14,0,1,1,0,3,1,1,4,0,0,0,7,3,5,0,0,0,0,0,0,4,0,4,0,0,2,9,0,0,0,0,0,0,1,0,0,1,0,10,0,1,0,0,0,2,0,1,0,1,0,3,1,3,2,0,1,0,0,0,0,2,0,0,0,0,1,2,0,2,0,0,0,0,4,0,0,0,1,3,0,0,0,0,2,19,0,0,2,1,0,0,0,0,2,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,2,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0
ENSG00000173372,0,0,0,21,0,2,1,2,0,228,0,1,1,0,0,2,1,2,0,15,0,0,0,1,3,295,0,0,0,0,0,0,0,0,6,2,2,0,1,1,10,2,0,0,2,2,14,0,20,1,1,0,0,0,0,4,0,0,0,2,0,3,2,1,0,0,4,2,2,0,0,1,0,0,0,30,2,4,1,5,0,0,1,48,2,0,2,4,15,4,4,2,0,7,0,4,21,3,0,1,37,13,2,0,0,2,3,1,2,2,0,0,0,2,0,1,1,3,12,1,9,5,1,0,18,7,12,0,0,0,5,0,0,0,4,12,1,0,90,38,4,0,0,4,1,0,1,0,0,0,0,9,0,77,4,0,2,18,0,4,3,0,0,0,11,81,7,0,1,4,0,1,61,1,1,4,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,4,0,0,0,7,0,1,0,0,0,1,0,2,0,0,45,0,3,0,24,0,0,0,0,0,0,0,1,29,0,2,0,0,0,0,0,20,0,0,0,3,1,1,14,0,19,0,0,1,12,24,8,2,0,1,0,1,9,0,10,0,48,0,1,0,3,0,2,2,5,0,3,2,0,0,2
ENSG00000004455,0,2,2,10,0,3,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,3,1,0,9,0,0,0,3,0,1,0,0,2,0,0,1,2,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,4,0,0,0,0,0,2,0,0,0,0,10,6,2,0,0,0,3,3,0,0,0,2,4,21,0,0,8,0,2,0,1,0,1,1,2,0,1,0,0,1,0,2,0,0,0,8,1,0,0,0,6,2,7,12,2,0,1,5,1,8,2,0,1,0,0,0,0,0,17,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0,1,3,1,16,0,0,0,0,9,8,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,3,2,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,5,0,4,0,2,0,0,1,0,0,1,0,2,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
ENSG00000163867,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000146463,0,2,0,5,0,2,0,1,0,6,0,3,0,0,0,0,0,11,1,0,0,0,0,2,2,9,0,0,2,0,0,1,0,2,0,2,8,0,2,0,3,0,1,1,0,0,7,0,0,2,1,0,2,3,1,0,0,0,0,0,0,0,0,1,3,2,2,1,1,0,0,0,0,0,0,1,1,2,2,1,0,3,2,0,3,0,0,2,0,1,2,2,0,9,0,1,0,4,0,1,2,0,1,3,0,1,0,1,1,0,0,1,0,1,0,0,0,11,2,4,5,0,0,1,11,3,3,0,0,0,0,3,0,3,2,11,0,0,0,4,1,0,0,2,0,1,0,0,0,0,2,0,0,3,2,11,1,1,0,1,0,0,0,0,4,6,6,0,0,3,0,0,1,5,0,0,0,0,1,0,0,2,3,0,0,0,2,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,0,2,0,8,0,2,0,0,0,0,0,1,0,0,0,1,3,0,1,0,0,1,0,0,0,0,0,1,0,0,1,3,4,2,0,0,0,4,5,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,3,1,4,0,0,2,0,0,7
ENSG00000043514,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000084073,0,0,0,2,0,1,1,1,2,0,0,0,2,0,0,2,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,1,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,3,0,0,0,0,3,0,0,0,2,0,0,0,0,2,0,0,0,0,2,1,0,2,0,7,0,3,0,0,0,0,1,0,3,5,0,0,1,0,0,0,2,0,0,3,0,2,0,1,0,7,1,4,4,0,0,4,4,2,1,0,0,1,0,0,0,0,0,6,0,0,0,4,2,0,0,1,0,0,2,0,0,1,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,10,0,1,1,0,0,0,3,1,1,0,0,1,0,0,1,0,3,2,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0,2,0,0,3,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,3,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,2,0,0,3,0,3,2
ENSG00000065978,2,1,2,0,0,0,0,0,3,8,1,5,2,1,4,0,1,5,3,1,0,0,0,4,0,17,0,0,0,0,0,0,0,1,0,2,2,1,1,3,1,0,1,0,3,0,0,0,0,3,0,0,2,0,1,0,4,0,0,0,0,0,0,0,3,6,1,3,3,0,1,0,0,0,0,1,4,2,2,0,0,2,1,0,7,0,4,0,2,2,1,3,0,12,0,0,0,3,0,0,5,3,0,0,0,1,2,0,2,1,1,1,0,0,0,0,0,9,1,9,5,4,2,1,1,11,0,5,0,2,0,2,0,0,0,4,0,0,7,5,1,0,1,3,1,1,0,0,4,2,7,8,0,2,6,0,0,2,0,2,2,5,0,2,2,5,5,0,0,0,0,0,0,2,0,3,2,0,2,0,0,1,0,0,0,0,4,1,0,0,0,5,6,0,0,3,1,10,1,0,2,2,1,0,5,0,9,0,1,0,5,0,1,5,1,0,0,0,0,1,0,0,0,2,2,0,1,1,0,0,3,1,3,0,0,3,0,1,0,2,0,0,0,8,0,1,0,0,1,1,0,5,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1
