index,AD_1_02_1,AD_1_04_1,AD_1_08_1,AD_1_09_1,AD_1_11_1,AD_1_13_1,AD_2_01_1,AD_2_02_1,AD_2_03_1,AD_2_05_1,AD_2_07_1,AD_3_00_1,AD_3_01_1,AD_3_03_1,AD_3_05_1,AD_3_07_1,AD_4_10_1,AD_4_11_1,AD_4_12_1,AD_4_13_1,AD_5_09_1,AD_5_10_1,AD_5_11_1,AD_5_12_1,AD_5_13_1,AD_6_09_1,AD_6_10_1,AD_6_11_1,AD_6_12_1,AD_6_13_1,AD_7_06_1,AD_7_08_1,AD_7_09_1,AD_7_11_1,AD_7_12_1,AD_8_03_1,AD_8_05_1,AD_8_07_1,AD_8_09_1,AD_8_11_1,AD_8_12_1,AD_9_04_1,AD_9_06_1,AD_9_09_1,AD_10_04_1,AD_10_06_1,AD_10_09_1,AD_10_10_1,AD_11_02_1,AD_11_03_1,AD_11_04_1,AD_11_08_1,AD_11_10_1,AD_12_02_1,AD_12_03_1,AD_12_05_1,AD_12_07_1,AD_13_00_1,AD_13_03_1,AD_13_04_1,AD_13_06_1,AD_14_00_1,AD_14_01_1,AD_14_03_1,AD_14_05_1,AD_14_07_1,AD_14_10_1,AD_14_13_1,AD_14_14_1,AD_15_00_1,AD_15_01_1,AD_15_03_1,AD_15_04_1,AD_15_06_1,N_1_01_1,N_1_05_1,N_1_07_1,N_1_08_1,N_1_09_1,N_2_00_1,N_2_01_1,N_2_03_1,N_2_06_1,N_2_08_1,N_3_01_1,N_3_03_1,N_3_04_1,N_3_06_1,N_4_01_1,N_4_02_1,N_4_04_1,N_4_06_1,N_4_08_1,N_5_03_1,N_5_04_1,N_5_06_1,N_5_08_1,N_5_10_1,N_6_01_1,N_6_02_1,N_6_03_1,N_6_06_1,N_6_08_1,N_7_01_1,N_7_02_1,N_7_04_1,N_7_07_1,N_8_01_1,N_8_05_1,N_8_07_1,N_9_00_1,N_9_03_1,N_9_06_1,N_9_08_1,N_9_12_1
ENSG00000078369,11,4,19,32,32,15,38,9,35,29,15,30,39,34,23,55,26,26,6,9,6,0,72,55,17,6,20,10,13,50,2,29,16,17,29,11,6,29,15,2,37,22,14,41,0,25,33,31,22,1,32,3,51,9,5,48,10,15,22,4,17,18,21,30,39,21,26,54,17,6,18,4,12,15,19,0,16,26,15,25,30,18,55,61,28,33,9,14,3,0,14,5,11,4,15,21,24,30,65,58,22,22,19,33,17,14,18,20,15,18,16,33,8,8,34
ENSG00000130939,20,11,9,19,46,8,33,26,46,11,12,57,62,46,0,50,17,31,21,23,18,4,2,7,70,50,32,8,5,75,9,13,34,20,22,36,17,13,7,0,16,31,30,39,17,1,45,48,14,6,22,12,2,53,15,48,32,11,18,34,7,36,38,37,28,46,24,43,24,26,19,8,24,25,10,1,40,24,29,39,21,22,49,84,27,41,19,16,1,0,17,11,13,13,20,27,28,35,1,37,37,31,22,28,17,29,49,51,18,24,60,21,7,14,47
ENSG00000162545,4,9,3,6,1,8,1,0,3,1,1,2,10,12,4,5,4,1,7,0,0,5,0,7,7,3,0,3,1,11,2,8,5,5,18,4,0,2,3,1,6,0,0,12,0,2,1,6,1,4,0,0,2,6,0,1,0,1,0,1,10,0,6,10,6,6,2,9,7,3,0,11,3,9,9,4,1,0,2,12,7,8,1,19,8,4,1,3,0,0,7,0,0,2,2,6,10,11,2,0,8,0,0,4,8,8,4,3,0,0,7,0,4,1,4
ENSG00000173372,0,0,2,4,3,6,18,3,0,3,11,1,9,0,0,4,2,3,0,9,11,0,0,10,0,2,2,0,0,4,0,5,4,5,7,1,4,4,0,1,8,2,1,1,0,0,1,7,0,0,0,1,4,1,0,5,2,1,8,1,2,10,14,0,0,0,3,5,1,0,0,0,2,0,1,0,2,0,3,3,0,2,1,2,5,4,1,1,0,0,3,7,4,8,1,8,0,2,3,4,10,16,11,0,5,0,0,0,0,6,0,4,0,3,7
ENSG00000004455,19,6,8,16,29,6,5,35,2,10,28,10,51,13,1,39,8,12,15,3,6,8,3,5,8,15,4,0,10,38,15,5,31,10,8,4,6,6,12,6,58,6,16,13,1,0,17,9,4,0,5,3,7,8,8,20,11,33,6,5,12,16,20,22,12,10,21,30,9,10,4,23,15,17,11,31,20,21,16,44,34,51,27,39,44,15,42,14,0,0,1,8,10,3,3,18,10,13,7,11,26,11,31,11,41,15,12,27,4,16,29,8,5,31,28
ENSG00000163867,10,6,12,29,23,9,9,16,20,16,9,14,61,38,8,55,17,4,3,11,6,28,42,25,8,16,10,12,4,28,23,14,5,9,24,34,16,6,19,0,21,11,19,19,1,13,14,26,0,2,9,61,11,14,7,29,5,2,10,5,10,10,12,26,11,22,22,16,16,7,0,1,28,25,5,8,22,31,23,31,34,8,6,44,40,9,12,13,0,0,9,2,10,14,13,28,29,25,0,33,9,18,35,23,12,16,13,19,12,1,35,28,3,28,32
ENSG00000146463,13,5,12,42,24,29,17,14,41,7,13,27,46,40,8,51,27,17,13,8,23,10,24,6,20,31,6,7,6,46,20,11,23,10,64,27,14,13,14,0,38,34,21,31,7,5,36,27,10,0,13,8,2,17,2,29,7,12,5,9,7,23,16,15,36,17,11,42,59,17,7,16,23,41,19,21,13,26,14,67,38,49,17,51,33,30,14,24,0,0,10,4,7,8,21,29,16,25,68,9,17,21,24,17,39,35,37,24,16,9,39,32,6,42,16
ENSG00000043514,7,4,23,15,6,1,1,17,9,2,2,2,21,5,4,12,19,11,18,11,18,2,81,13,2,11,13,1,0,24,10,2,7,4,12,19,19,6,6,1,3,1,28,11,3,0,3,11,13,0,5,2,1,11,0,11,3,9,0,6,7,2,2,7,22,1,11,41,2,2,10,0,0,7,1,0,1,8,9,20,12,10,22,19,10,18,15,2,17,0,0,0,0,1,9,3,6,18,5,2,9,6,2,10,1,15,6,22,1,3,29,18,5,20,1
ENSG00000084073,2,2,3,1,16,22,22,41,32,21,20,9,23,16,0,20,9,7,8,2,2,3,6,8,8,2,4,1,0,17,12,9,17,8,15,15,2,26,0,4,3,24,9,4,0,5,10,31,1,0,25,1,0,16,4,5,8,5,0,11,0,25,29,12,13,5,28,16,12,0,0,0,8,17,0,6,4,4,14,27,26,10,13,24,23,19,1,7,1,0,9,8,18,3,11,5,8,21,2,4,15,18,17,11,7,11,9,6,6,12,10,9,19,3,5
ENSG00000065978,1,5,2,5,9,8,1,6,7,11,2,6,16,3,0,14,2,6,3,3,2,2,0,2,1,0,0,0,0,7,10,3,3,8,6,5,13,5,1,6,5,0,9,10,1,4,5,4,19,0,11,51,14,4,2,15,1,0,0,13,1,3,12,11,0,14,0,8,10,5,7,6,5,4,3,35,6,4,13,23,26,4,14,6,6,11,7,5,0,0,3,5,4,2,5,10,6,7,0,2,5,9,0,2,5,5,10,3,5,20,25,0,0,6,17
ENSG00000162378,10,7,14,21,22,25,31,22,30,24,18,44,53,2,29,58,27,10,7,11,3,14,10,18,5,19,1,1,9,46,10,15,26,12,20,35,23,7,23,0,34,10,21,28,11,8,17,27,22,1,37,20,0,20,36,56,15,7,7,13,26,31,43,26,15,38,6,19,13,22,10,9,10,24,1,7,13,24,19,46,46,84,20,55,39,27,15,10,16,0,22,41,25,9,14,18,20,31,5,22,29,19,28,16,14,30,39,14,16,21,21,19,7,17,23
ENSG00000177606,6,23,5,4,7,3,21,7,17,16,7,12,21,1,1,11,5,4,5,12,7,2,0,1,1,13,0,0,0,9,2,0,4,7,6,6,4,2,4,4,12,4,0,9,0,5,10,9,5,3,5,6,0,7,9,16,4,0,0,0,0,17,25,0,4,14,6,4,7,1,11,5,2,5,0,0,7,9,7,39,23,8,14,11,11,0,7,2,0,7,20,6,19,1,6,1,13,12,10,1,3,13,6,4,11,11,13,11,4,0,1,13,1,3,12
ENSG00000132485,10,6,5,9,24,8,18,14,4,11,4,7,26,44,4,21,6,7,14,6,7,7,0,3,5,10,8,0,3,16,2,7,7,6,9,30,6,10,12,1,2,11,15,7,1,10,8,29,20,13,2,25,21,3,1,14,0,16,8,13,4,4,9,13,24,5,1,11,19,6,0,17,12,9,9,0,15,17,13,16,0,14,5,8,22,12,1,18,0,0,12,24,9,6,9,30,14,15,13,13,4,12,15,16,6,13,13,15,1,10,20,25,1,14,11
